Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2439,Army of Two: The 40th Day,17,2010,8,Electronic Arts,0.44,0.27,0.01,0.12,0.85
2440,Blazing Angels: Squadrons of WWII,26,2007,9,Ubisoft,0.74,0.04,0.0,0.06,0.85
2441,Castlevania III: Dracula's Curse,11,1989,4,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85
2442,Harry Potter and the Order of the Phoenix,4,2007,0,Electronic Arts,0.28,0.47,0.0,0.1,0.85
2443,Rampage World Tour,15,1997,0,GT Interactive,0.47,0.32,0.0,0.06,0.85
2444,Burnout Legends,19,2005,6,Electronic Arts,0.7,0.06,0.0,0.09,0.85
2445,WWE 2K15,17,2014,10,Take-Two Interactive,0.36,0.35,0.0,0.14,0.85
2446,Overwatch,30,2016,8,Activision,0.52,0.25,0.0,0.08,0.85
2447,Ratatouille,16,2007,0,THQ,0.31,0.0,0.0,0.53,0.85
2448,NFL GameDay,15,1995,10,Sony Computer Entertainment,0.47,0.32,0.0,0.06,0.85
2449,Burnout 2: Point of Impact,16,2002,6,Acclaim Entertainment,0.42,0.32,0.0,0.11,0.85
2450,Kirby: Planet Robobot,2,2016,0,Nintendo,0.26,0.1,0.44,0.04,0.85
2451,Street Fighter EX3,16,2000,2,Virgin Interactive,0.32,0.25,0.2,0.08,0.85
2452,Karaoke Revolution Glee,26,2010,3,Konami Digital Entertainment,0.52,0.25,0.0,0.07,0.85
2453,Sniper Elite V2,28,2012,8,505 Games,0.46,0.29,0.02,0.07,0.85
2454,Thief (2014),18,2014,0,Square Enix,0.28,0.37,0.03,0.16,0.84
2455,Spider-Man 2,7,2004,0,Activision,0.65,0.17,0.0,0.02,0.84
2456,Golden Sun: Dark Dawn,4,2010,7,Nintendo,0.56,0.11,0.13,0.05,0.84
2457,Tiger Woods PGA Tour 11,17,2010,10,Electronic Arts,0.37,0.34,0.0,0.13,0.84
2458,Devil May Cry HD Collection,17,2012,0,Capcom,0.42,0.21,0.11,0.1,0.84
2459,MLB 16: The Show,18,2016,0,Sony Computer Entertainment,0.68,0.0,0.0,0.16,0.84
2460,NBA 2K10,17,2009,10,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84
2461,Xenoblade Chronicles X,27,2015,7,Nintendo,0.36,0.28,0.14,0.06,0.84
2462,Petz Dogz Fashion,4,2008,9,Ubisoft,0.46,0.3,0.0,0.09,0.84
2463,The Incredibles,7,2004,0,THQ,0.65,0.17,0.0,0.02,0.84
2464,NCAA Football 11,17,2010,10,Electronic Arts,0.79,0.0,0.0,0.06,0.84
2465,Dragon Age II,17,2011,0,Electronic Arts,0.4,0.27,0.05,0.12,0.84
2466,ATV Quad Power Racing 2,16,2003,6,Acclaim Entertainment,0.41,0.32,0.0,0.11,0.84
2467,Harvest Moon: Tree of Tranquility,26,2007,9,Rising Star Games,0.69,0.03,0.06,0.06,0.84
2468,Final Fantasy,11,1987,7,SquareSoft,0.32,0.0,0.52,0.0,0.84
2469,Street Fighter X Tekken,17,2012,2,Capcom,0.42,0.22,0.1,0.1,0.84
2470,Rocket Power: Team Rocket Rescue,15,2001,10,THQ,0.47,0.32,0.0,0.05,0.84
2471,Duke Nukem Forever,28,2011,8,Take-Two Interactive,0.52,0.25,0.0,0.07,0.84
2472,Big Mutha Truckers,16,2002,6,Empire Interactive,0.41,0.32,0.0,0.11,0.84
2473,Borderlands: The Handsome Collection,18,2015,8,Take-Two Interactive,0.36,0.32,0.03,0.14,0.84
2474,Rogue Galaxy,16,2005,7,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84
2475,ESPN College Hoops 2K5,16,2004,10,Sega,0.41,0.32,0.0,0.11,0.84
2476,Metroid: Zero Mission,6,2004,1,Nintendo,0.6,0.22,0.0,0.01,0.84
2477,FIFA 15,20,2014,10,Electronic Arts,0.13,0.48,0.04,0.19,0.84
2478,Time Crisis 4,17,2007,8,Namco Bandai Games,0.32,0.33,0.05,0.14,0.84
2479,Ben 10: Protector of Earth,16,2007,0,D3Publisher,0.09,0.0,0.0,0.74,0.84
2480,Need for Speed Rivals,28,2013,6,Electronic Arts,0.37,0.38,0.01,0.08,0.84
2481,Q*bert,15,1999,5,Atari,0.46,0.32,0.0,0.05,0.84
2482,WWE SmackDown vs. Raw 2009,26,2008,2,THQ,0.44,0.31,0.0,0.08,0.83
2483,Ace Combat 3: Electrosphere,15,1999,9,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83
2484,Dynasty Warriors 2,16,2000,0,THQ,0.24,0.19,0.34,0.06,0.83
2485,Battle of Giants: Dinosaurs,4,2008,11,Ubisoft,0.38,0.37,0.0,0.09,0.83
2486,Madden NFL 07,19,2006,10,Unknown,0.77,0.03,0.0,0.04,0.83
2487,Lizzie McGuire 2: Lizzie Diaries,6,2004,0,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83
2488,Borderlands 2,20,2014,8,Take-Two Interactive,0.43,0.21,0.01,0.19,0.83
2489,FIFA Soccer World Championship,16,2000,10,Electronic Arts,0.27,0.21,0.28,0.07,0.83
2490,Brute Force,29,2003,8,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83
2491,Dance Central 3,28,2012,3,Microsoft Game Studios,0.57,0.2,0.0,0.06,0.83
2492,Yu-Gi-Oh! Dark Duel Stories,5,2000,3,Konami Digital Entertainment,0.0,0.0,0.83,0.0,0.83
2493,The Game of Life,15,1998,3,Unknown,0.46,0.31,0.0,0.05,0.83
2494,Mega Man Legends,15,1997,1,Capcom,0.39,0.26,0.12,0.05,0.83
2495,NCAA Football 12,17,2011,10,Electronic Arts,0.78,0.0,0.0,0.05,0.83
2496,Sly 3: Honor Among Thieves,16,2005,4,Sony Computer Entertainment,0.69,0.03,0.0,0.11,0.83
2497,The Price is Right,26,2008,3,Ubisoft,0.77,0.0,0.0,0.06,0.83
2498,Sid Meier's Civilization Revolution,28,2008,11,Take-Two Interactive,0.58,0.17,0.0,0.07,0.83
2499,MLB SlugFest 20-03,16,2006,10,Unknown,0.41,0.32,0.0,0.11,0.83
2500,I Spy: Fun House,4,2007,5,Scholastic Inc.,0.77,0.0,0.0,0.06,0.83
2501,The Amazing Spider-Man (Console Version),17,2012,0,Activision,0.31,0.37,0.0,0.14,0.83
2502,Dragon Ball: Raging Blast 2,17,2010,2,Namco Bandai Games,0.42,0.2,0.11,0.09,0.83
2503,MediEvil,15,1998,4,Sony Computer Entertainment,0.46,0.31,0.0,0.05,0.83
2504,Casper,15,1996,1,Interplay,0.46,0.31,0.0,0.05,0.83
2505,Deca Sports 2,26,2009,10,Hudson Soft,0.33,0.34,0.09,0.07,0.82
2506,James Bond 007: Nightfire,29,2002,8,Electronic Arts,0.58,0.22,0.0,0.03,0.82
2507,Madden NFL 17,30,2016,10,Electronic Arts,0.72,0.02,0.0,0.09,0.82
2508,Tony Hawk's Underground 2 Remix,19,2005,10,Activision,0.46,0.21,0.0,0.15,0.82
2509,Tony Hawk's Pro Skater 3,7,2001,10,Activision,0.64,0.17,0.0,0.02,0.82
2510,Marvel: Ultimate Alliance,16,2006,7,Activision,0.69,0.03,0.0,0.11,0.82
2511,Star Wars The Clone Wars: Republic Heroes,26,2009,0,LucasArts,0.44,0.3,0.0,0.08,0.82
2512,DJ Hero 2,28,2010,3,Activision,0.64,0.12,0.0,0.06,0.82
2513,Street Fighter V,18,2016,2,Capcom,0.35,0.26,0.08,0.13,0.82
2514,Need for Speed: Hot Pursuit 2,29,2002,6,Electronic Arts,0.68,0.11,0.0,0.03,0.82
2515,Clu Clu Land,11,1984,5,Nintendo,0.42,0.1,0.28,0.02,0.82
2516,Killer Instinct Gold,10,1996,2,Nintendo,0.61,0.19,0.0,0.01,0.82
2517,Amped: Freestyle Snowboarding,29,2001,10,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82
2518,Custer's Revenge,0,1981,0,Mystique,0.76,0.05,0.0,0.01,0.82
2519,MediEvil: Resurrection,19,2005,1,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.82
2520,DmC: Devil May Cry,17,2013,0,Capcom,0.24,0.28,0.19,0.12,0.82
2521,Tales of the Abyss,2,2011,7,Namco Bandai Games,0.42,0.19,0.14,0.06,0.82
2522,Rocket Power: Beach Bandits,16,2002,4,THQ,0.4,0.31,0.0,0.1,0.82
2523,Guitar Hero: Warriors of Rock,17,2010,3,Activision,0.33,0.35,0.0,0.14,0.82
2524,Hasbro Family Game Night 3,26,2010,3,Electronic Arts,0.47,0.28,0.0,0.07,0.82
2525,Madden NFL 16,17,2015,10,Electronic Arts,0.56,0.11,0.0,0.15,0.82
2526,Stranglehold,28,2007,8,Midway Games,0.4,0.33,0.01,0.09,0.82
2527,Imagine: Rock Star,4,2008,9,Ubisoft,0.4,0.33,0.0,0.09,0.82
2528,Shin Megami Tensei: Persona 4,16,2008,7,Atlus,0.34,0.04,0.36,0.08,0.82
2529,SingStar Vol. 2,17,2008,3,Sony Computer Entertainment,0.29,0.4,0.0,0.13,0.82
2530,Shaun White Snowboarding,28,2006,10,Ubisoft,0.48,0.26,0.0,0.08,0.82
2531,Madden NFL 25,18,2013,10,Electronic Arts,0.62,0.13,0.0,0.07,0.82
2532,Twisted Metal (2012),17,2012,0,Sony Computer Entertainment,0.67,0.07,0.0,0.07,0.82
2533,Dragon Warrior III,5,2000,7,Enix Corporation,0.0,0.0,0.81,0.0,0.81
2534,Disney's The Little Mermaid: Ariel's Undersea Adventure,4,2006,0,Disney Interactive Studios,0.73,0.03,0.0,0.06,0.81
2535,Ready 2 Rumble Boxing: Round 2,16,2000,2,Midway Games,0.4,0.31,0.0,0.1,0.81
2536,Kamaitachi no Yoru,23,1994,1,ChunSoft,0.0,0.0,0.81,0.0,0.81
2537,Patapon,19,2007,3,Sony Computer Entertainment,0.33,0.25,0.07,0.17,0.81
2538,Tales of Destiny II,15,2000,7,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81
2539,Super Bomberman 2,23,1994,5,Hudson Soft,0.0,0.0,0.81,0.0,0.81
2540,NASCAR 2001,15,2000,6,Electronic Arts,0.45,0.31,0.0,0.05,0.81
2541,EA Sports Active NFL Training Camp,26,2010,10,Electronic Arts,0.77,0.0,0.0,0.05,0.81
2542,The Legend of Zelda: Four Swords Adventures,7,2004,0,Nintendo,0.63,0.16,0.0,0.02,0.81
2543,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,15,1999,10,Konami Digital Entertainment,0.0,0.0,0.76,0.05,0.81
2544,Guitar Hero Live,18,2015,3,Activision,0.32,0.35,0.0,0.13,0.81
2545,Valkyrie Profile,15,1999,7,Enix Corporation,0.07,0.05,0.63,0.05,0.81
2546,Final Fantasy Type-0,19,2011,7,Unknown,0.0,0.0,0.81,0.0,0.81
2547,Pro Evolution Soccer 2010,28,2009,10,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81
2548,Army Men: Sarge's Heroes,10,1999,0,3DO,0.68,0.12,0.0,0.01,0.81
2549,Mega Man,11,1987,4,Capcom,0.45,0.08,0.27,0.01,0.81
2550,Tom Clancy's Rainbow Six 3,16,2004,8,Ubisoft,0.4,0.31,0.0,0.1,0.81
2551,Lego Batman 3: Beyond Gotham,17,2014,0,Warner Bros. Interactive Entertainment,0.33,0.35,0.0,0.13,0.81
2552,EarthBound,23,1994,7,Nintendo,0.0,0.0,0.81,0.0,0.81
2553,DiRT 2,28,2009,6,Codemasters,0.32,0.4,0.0,0.09,0.81
2554,Professor Layton vs Phoenix Wright: Ace Attorney,2,2012,5,Level 5,0.2,0.26,0.3,0.04,0.81
2555,The Next Tetris,15,1998,5,Atari,0.45,0.31,0.0,0.05,0.81
2556,Dying Light,30,2015,0,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81
2557,NCAA Football 10,17,2009,10,Electronic Arts,0.75,0.0,0.0,0.06,0.81
2558,Ben 10: Alien Force,26,2008,0,Koch Media,0.52,0.21,0.0,0.07,0.81
2559,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,15,1998,10,Konami Digital Entertainment,0.0,0.0,0.75,0.05,0.81
2560,Final Fantasy XI: Wings of the Goddess,16,2007,7,Square Enix,0.35,0.27,0.09,0.09,0.81
2561,The Sims 2,16,2005,9,Electronic Arts,0.67,0.03,0.0,0.11,0.81
2562,Guitar Hero: Metallica,28,2009,3,Activision,0.52,0.21,0.0,0.07,0.81
2563,NCAA Football 14,17,2013,10,Electronic Arts,0.75,0.0,0.0,0.06,0.8
2564,MadWorld,26,2009,0,Sega,0.46,0.25,0.02,0.07,0.8
2565,Fight Night Champion,28,2011,2,Electronic Arts,0.4,0.33,0.0,0.07,0.8
2566,Who wants to be a millionaire,15,2000,3,Eidos Interactive,0.45,0.3,0.0,0.05,0.8
2567,Yakuza,16,2005,0,Sega,0.03,0.02,0.74,0.01,0.8
2568,Star Wars Rogue Squadron III: Rebel Strike,7,2003,9,LucasArts,0.62,0.16,0.0,0.02,0.8
2569,ABBA: You Can Dance,26,2011,3,Ubisoft,0.19,0.5,0.0,0.11,0.8
2570,Moto Racer,15,1997,6,Electronic Arts,0.45,0.3,0.0,0.05,0.8
2571,Hitman: Contracts,16,2004,8,Eidos Interactive,0.39,0.31,0.0,0.1,0.8
2572,The Sims 2: Pets,19,2006,9,Electronic Arts,0.19,0.39,0.0,0.22,0.8
2573,Final Fantasy Anthology,15,1999,7,Square EA,0.45,0.3,0.0,0.05,0.8
2574,Aliens: Colonial Marines,28,2013,8,Sega,0.36,0.37,0.0,0.07,0.8
2575,Pro Evolution Soccer 2010,19,2009,10,Konami Digital Entertainment,0.09,0.33,0.2,0.18,0.8
2576,[Prototype 2],28,2012,0,Activision,0.48,0.25,0.0,0.07,0.8
2577,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,28,2010,6,Sega,0.37,0.35,0.0,0.07,0.8
2578,Goldeneye 007: Reloaded,17,2011,8,Activision,0.33,0.35,0.0,0.13,0.8
2579,NBA 2K16,17,2015,10,Take-Two Interactive,0.44,0.19,0.03,0.13,0.8
2580,All Star Cheer Squad,26,2008,10,THQ,0.43,0.29,0.0,0.08,0.8
2581,The Sims 2: Castaway,19,2007,9,Electronic Arts,0.08,0.46,0.0,0.25,0.8
2582,Prince of Persia: Warrior Within,29,2004,0,Ubisoft,0.48,0.28,0.0,0.04,0.8
2583,Dragon's Dogma,28,2012,7,Capcom,0.42,0.24,0.07,0.06,0.8
2584,Darksiders II,28,2012,0,THQ,0.45,0.28,0.0,0.07,0.8
2585,Resident Evil: Revelations,17,2013,0,Capcom,0.14,0.32,0.22,0.12,0.8
2586,Rayman Raving Rabbids 2,4,2007,3,Ubisoft,0.73,0.01,0.0,0.06,0.8
2587,Super Robot Taisen α,15,2000,11,Banpresto,0.0,0.0,0.75,0.05,0.8
2588,PES 2009: Pro Evolution Soccer,19,2006,10,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8
2589,Need for Speed: Hot Pursuit 2,7,2002,6,Electronic Arts,0.68,0.09,0.0,0.02,0.8
2590,Star Wars: The Force Unleashed II,26,2010,0,LucasArts,0.54,0.19,0.0,0.06,0.8
2591,Band Hero,28,2009,3,Activision,0.51,0.22,0.0,0.07,0.8
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,27,2013,10,Nintendo,0.39,0.22,0.13,0.06,0.8
2593,Tales of Destiny 2,16,2002,7,Namco Bandai Games,0.0,0.0,0.8,0.0,0.8
2594,Capcom's Soccer Shootout,23,1993,10,Nintendo,0.0,0.0,0.8,0.0,0.8
2595,Sniper: Ghost Warrior,17,2011,8,City Interactive,0.26,0.36,0.04,0.14,0.8
2596,The Godfather II,28,2009,0,Electronic Arts,0.47,0.24,0.01,0.08,0.79
2597,pro evolution soccer 2011,19,2010,10,Konami Digital Entertainment,0.05,0.3,0.29,0.16,0.79
2598,Alien,0,1981,0,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79
2599,Dragon Ball Z: Budokai Tenkaichi 2,16,2006,2,Atari,0.66,0.02,0.0,0.11,0.79
2600,The Walking Dead: Season One,17,2012,1,Avanquest Software,0.4,0.25,0.03,0.11,0.79
2601,Rayman Origins,28,2011,4,Ubisoft,0.38,0.34,0.0,0.08,0.79
2602,Guitar Hero: Aerosmith,16,2008,3,Activision,0.61,0.0,0.0,0.18,0.79
2603,Ridge Racer,15,1994,6,Sony Computer Entertainment,0.0,0.0,0.74,0.05,0.79
2604,Final Fantasy Tactics A2: Grimoire of the Rift,4,2007,7,Square Enix,0.42,0.03,0.3,0.04,0.79
2605,Harvest Moon: A Wonderful Life,7,2003,7,Ubisoft,0.61,0.16,0.0,0.02,0.79
2606,Momotarou Dentetsu 7,15,1997,9,Hudson Entertainment,0.0,0.0,0.74,0.05,0.79
2607,Invizimals,19,2009,11,Sony Computer Entertainment,0.17,0.51,0.0,0.11,0.79
2608,Motocross Mania,15,2001,6,Take-Two Interactive,0.44,0.3,0.0,0.05,0.79
2609,Tiger Woods PGA Tour 10,17,2009,10,Electronic Arts,0.42,0.25,0.0,0.12,0.79
2610,Star Wars The Clone Wars: Jedi Alliance,4,2008,0,LucasArts,0.62,0.11,0.0,0.07,0.79
2611,WCW Mayhem,10,1999,2,Electronic Arts,0.63,0.15,0.0,0.01,0.79
2612,Mega Man 5,11,1992,4,Capcom,0.39,0.07,0.32,0.01,0.79
2613,Star Ocean: The Last Hope,28,2009,7,Square Enix,0.32,0.2,0.21,0.06,0.79
2614,Dance Dance Revolution SuperNOVA 2,16,2007,9,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79
2615,Armored Core 2,16,2000,9,Ubisoft,0.28,0.22,0.23,0.07,0.79
2616,Dragon Quest Monsters 2,2,2014,7,Square Enix,0.0,0.0,0.79,0.0,0.79
2617,Ghost Squad,26,2007,8,Sega,0.42,0.21,0.08,0.07,0.79
2618,Dead Island: Riptide,28,2013,0,Deep Silver,0.44,0.27,0.01,0.07,0.79
2619,Drawn to Life,4,2007,0,THQ,0.71,0.02,0.0,0.06,0.79
2620,Major League Baseball Featuring Ken Griffey Jr,10,1998,10,Nintendo,0.75,0.03,0.0,0.01,0.79
2621,FIFA 12,26,2011,10,Electronic Arts,0.16,0.52,0.0,0.11,0.79
2622,Too Human,28,2008,7,Microsoft Game Studios,0.38,0.3,0.03,0.08,0.79
2623,Sid Meier's Civilization Revolution,17,2008,11,Take-Two Interactive,0.49,0.19,0.01,0.1,0.79
2624,NCAA Football 08,16,2007,10,Electronic Arts,0.65,0.03,0.0,0.11,0.79
2625,FIFA Soccer 2004,29,2003,10,Electronic Arts,0.24,0.49,0.0,0.05,0.79
2626,Personal Trainer: Walking,4,2008,10,Nintendo,0.22,0.32,0.17,0.07,0.79
2627,Naruto Shippuden: Ultimate Ninja Storm 2,28,2010,2,Namco Bandai Games,0.43,0.27,0.01,0.07,0.79
2628,PokePark 2: Wonders Beyond,26,2011,0,Nintendo,0.27,0.2,0.27,0.05,0.79
2629,Professor Layton and the Azran Legacy,2,2013,5,Nintendo,0.0,0.48,0.25,0.06,0.78
2630,Tom Clancy's Splinter Cell: Double Agent,28,2006,0,Ubisoft,0.67,0.05,0.01,0.06,0.78
2631,Yars' Revenge,0,1982,8,Atari,0.73,0.04,0.0,0.01,0.78
2632,Lips,28,2008,3,Microsoft Game Studios,0.12,0.56,0.0,0.1,0.78
2633,Secret Agent Barbie: Royal Jewels Mission,6,2002,4,Vivendi Games,0.56,0.21,0.0,0.01,0.78
2634,Metroid Prime Hunters,4,2006,8,Nintendo,0.58,0.04,0.11,0.06,0.78
2635,The 7th Guest,13,1992,1,Virgin Interactive,0.01,0.77,0.0,0.0,0.78
2636,Doom,15,1994,8,Infogrames,0.43,0.3,0.0,0.05,0.78
2637,Buzz! The Hollywood Quiz,16,2007,3,Sony Computer Entertainment,0.17,0.0,0.0,0.61,0.78
2638,Puzzler World,4,2009,5,Ubisoft,0.41,0.3,0.0,0.07,0.78
2639,My Little Pony: Pinkie Pie's Party,4,2008,1,THQ,0.72,0.0,0.0,0.06,0.78
2640,We Sing,26,2009,3,Nordic Games,0.0,0.69,0.0,0.09,0.78
2641,Marvel vs. Capcom: Clash of Super Heroes,15,1999,2,Capcom,0.43,0.3,0.0,0.05,0.78
2642,God of War Saga,17,2012,0,Sony Computer Entertainment,0.72,0.0,0.0,0.06,0.78
2643,Battle Stations,15,1997,11,Electronic Arts,0.43,0.29,0.0,0.05,0.78
2644,Tetris Party Deluxe,4,2010,5,Nintendo,0.29,0.3,0.12,0.07,0.78
2645,Pro Evolution Soccer 2016,18,2015,10,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.78
2646,Worms: Open Warfare,19,2006,11,THQ,0.11,0.43,0.0,0.24,0.78
2647,Star Wars Battlefront: Elite Squadron,19,2009,8,LucasArts,0.38,0.24,0.0,0.16,0.78
2648,UFC Personal Trainer: The Ultimate Fitness System,28,2011,10,THQ,0.53,0.19,0.0,0.06,0.78
2649,Resident Evil: Operation Raccoon City,28,2012,0,Capcom,0.55,0.15,0.03,0.06,0.78
2650,NBA 2K7,16,2006,10,Take-Two Interactive,0.65,0.02,0.0,0.11,0.78
2651,Need for Speed: ProStreet,19,2008,6,Electronic Arts,0.24,0.33,0.01,0.2,0.78
2652,Toy Story 3: The Video Game,28,2010,0,Disney Interactive Studios,0.41,0.29,0.0,0.07,0.78
2653,Torneko no Daibouken: Fushigi no Dungeon,23,1993,7,ChunSoft,0.0,0.0,0.78,0.0,0.78
2654,Jr. Pac-Man,0,1983,5,Atari,0.72,0.05,0.0,0.01,0.78
2655,James Bond 007: Nightfire,7,2002,8,Electronic Arts,0.6,0.16,0.0,0.02,0.78
2656,Banjo-Kazooie: Nuts & Bolts,28,2008,4,Microsoft Game Studios,0.32,0.36,0.0,0.09,0.78
2657,NBA ShootOut 98,15,1998,10,Sony Computer Entertainment,0.43,0.29,0.0,0.05,0.78
2658,Avatar: The Game,28,2009,0,Ubisoft,0.34,0.35,0.0,0.08,0.78
2659,Harry Potter and the Half-Blood Prince,26,2009,0,Electronic Arts,0.28,0.4,0.0,0.09,0.77
2660,DJ Hero,26,2009,3,Activision,0.47,0.23,0.0,0.07,0.77
2661,Perfect Dark Zero,28,2005,8,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77
2662,Galaxian,0,1982,8,Atari,0.72,0.05,0.0,0.01,0.77
2663,Andretti Racing,15,1996,6,Electronic Arts,0.43,0.29,0.0,0.05,0.77
2664,Caesars Palace 2000: Millennium Gold Edition,15,2000,3,Interplay,0.43,0.29,0.0,0.05,0.77
2665,Madden NFL 25,30,2013,10,Electronic Arts,0.67,0.05,0.0,0.05,0.77
2666,Air Raid,0,1981,0,Men-A-Vision,0.72,0.04,0.0,0.01,0.77
2667,Need For Speed: Undercover,19,2008,6,Electronic Arts,0.23,0.32,0.03,0.19,0.77
2668,Duke Nukem Forever,17,2011,8,Take-Two Interactive,0.33,0.31,0.0,0.12,0.77
2669,Freedom Wars,20,2014,7,Sony Computer Entertainment,0.22,0.14,0.32,0.1,0.77
2670,Marvel Nemesis: Rise of the Imperfects,16,2005,2,Electronic Arts,0.64,0.02,0.0,0.1,0.77
2671,Boxing,0,1980,2,Activision,0.72,0.04,0.0,0.01,0.77
2672,Need for Speed: Porsche Unleashed,15,1999,6,Electronic Arts,0.43,0.29,0.0,0.05,0.77
2673,Dragon Ball: Raging Blast,17,2009,2,Namco Bandai Games,0.37,0.19,0.11,0.1,0.77
2674,Crystal Castles,0,1983,0,Atari,0.72,0.04,0.0,0.01,0.77
2675,Conker's Bad Fur Day,10,2001,4,THQ,0.53,0.22,0.0,0.02,0.77
2676,Dragon Warrior I&II,5,1999,7,Enix Corporation,0.0,0.0,0.77,0.0,0.77
2677,Star Wars Episode II: Attack of the Clones,6,2002,0,THQ,0.55,0.2,0.0,0.01,0.77
2678,My Baby Girl,4,2008,9,Nobilis,0.61,0.1,0.0,0.06,0.77
2679,LEGO Batman 2: DC Super Heroes,4,2012,0,Warner Bros. Interactive Entertainment,0.43,0.27,0.0,0.06,0.77
2680,Twisted Metal: Head On,19,2005,0,Sony Computer Entertainment,0.71,0.0,0.0,0.06,0.77
2681,Conflict: Desert Storm II - Back to Bagdhad,16,2003,8,SCi,0.38,0.29,0.0,0.1,0.77
2682,Maximo: Ghosts to Glory,16,2001,4,Capcom,0.38,0.29,0.0,0.1,0.77
2683,Pokemon Dash,4,2004,6,Nintendo,0.21,0.14,0.38,0.04,0.77
2684,Donkey Kong Country 3,6,2005,4,Nintendo,0.45,0.17,0.14,0.01,0.77
2685,All-Star Baseball 2003,16,2002,10,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77
2686,Unlimited Saga,16,2002,7,Atari,0.1,0.08,0.56,0.03,0.77
2687,Cabela's Deer Hunt: 2004 Season,16,2003,10,Activision Value,0.37,0.29,0.0,0.1,0.76
2688,Sonic Unleashed,16,2008,4,Sega,0.37,0.04,0.0,0.36,0.76
2689,Formula 1,15,1996,6,Psygnosis,0.18,0.12,0.42,0.05,0.76
2690,Plants vs. Zombies: Garden Warfare,17,2014,8,Electronic Arts,0.22,0.4,0.01,0.14,0.76
2691,Raving Rabbids: Travel in Time,26,2010,1,Ubisoft,0.22,0.47,0.0,0.08,0.76
2692,The Sims 3,2,2011,9,Electronic Arts,0.3,0.37,0.03,0.07,0.76
2693,Driv3r,29,2004,6,Atari,0.36,0.38,0.0,0.03,0.76
2694,Mercenaries: Playground of Destruction,16,2005,0,LucasArts,0.64,0.02,0.0,0.1,0.76
2695,MTV Celebrity Deathmatch,16,2003,2,Gotham Games,0.37,0.29,0.0,0.1,0.76
2696,Street Fighter Alpha: Warriors' Dreams,15,1995,2,Virgin Interactive,0.17,0.11,0.43,0.05,0.76
2697,Mortal Kombat,20,2012,2,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76
2698,ISS Pro Evolution,15,1998,10,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76
2699,Lost Planet 2,28,2010,8,Capcom,0.38,0.24,0.08,0.06,0.76
2700,SoulCalibur V,17,2012,2,Namco Bandai Games,0.35,0.24,0.07,0.1,0.76
2701,Portal 2,13,2011,8,Valve Software,0.33,0.32,0.0,0.11,0.76
2702,Super Monkey Ball: Touch & Roll,4,2005,3,Sega,0.7,0.01,0.0,0.06,0.76
2703,Pro Evolution Soccer 2015,18,2014,10,Konami Digital Entertainment,0.09,0.43,0.11,0.13,0.76
2704,Drawn to Life: The Next Chapter,26,2009,5,THQ,0.29,0.39,0.0,0.08,0.76
2705,The Lord of the Rings: Conquest,17,2009,0,Electronic Arts,0.38,0.26,0.0,0.12,0.76
2706,Final Fantasy II,11,1988,7,SquareSoft,0.0,0.0,0.76,0.0,0.76
2707,Tony Hawk's Pro Skater 2,10,2001,10,Activision,0.59,0.16,0.0,0.01,0.76
2708,Taiko no Tatsujin: Tatakon de Dodon ga Don,16,2002,3,Namco Bandai Games,0.0,0.0,0.76,0.0,0.76
2709,Mega Man Battle Network 6: Cybeast Falzar / Gregar,6,2005,7,Capcom,0.09,0.03,0.62,0.02,0.76
2710,Syphon Filter: The Omega Strain,16,2004,8,Sony Computer Entertainment,0.37,0.29,0.0,0.1,0.76
2711,FIFA Soccer 11,16,2010,10,Electronic Arts,0.11,0.29,0.0,0.36,0.76
2712,Deer Drive,26,2009,10,Big Ben Interactive,0.67,0.04,0.0,0.05,0.76
2713,Kane & Lynch: Dead Men,28,2007,8,Eidos Interactive,0.36,0.31,0.01,0.08,0.76
2714,Assassin's Creed: Revelations,13,2011,0,Ubisoft,0.14,0.48,0.0,0.14,0.76
2715,Mortal Kombat: Deception,29,2004,2,Midway Games,0.61,0.12,0.0,0.03,0.76
